,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
444,xgboost,adult_size_48842,20,30162,0,0.3,25,6,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
445,xgboost,adult_size_48842,20,30162,0,0.2,500,6,0,0,0,0,0,0,0.914822,0.00507354,86.1175,0.143889,85.9592,0.187825,0,0,0.910719,0.00735691,85.8431,0.730884,85.6508,0.788942,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
447,xgboost,adult_size_48842,20,30162,0,0.2,25,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
451,xgboost,adult_size_48842,20,30162,0,0.2,600,6,0,0,0,0,0,0,0.918204,0.00524855,86.2973,0.28263,86.2277,0.313413,0,0,0.913906,0.00631081,85.9591,0.759181,85.7934,0.748891,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
453,xgboost,adult_size_48842,20,30162,0,0.3,500,6,0,0,0,0,0,0,0.915611,0.00501329,86.1796,0.22326,86.1166,0.193345,0,0,0.91064,0.0057214,85.8497,0.559542,85.6575,0.598425,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
454,xgboost,adult_size_48842,20,30162,0,0.3,500,6,0,0,0,0,0,0,0.916922,0.00626425,86.3338,0.273765,86.2368,0.311179,0,0,0.911697,0.0068515,85.9028,0.636785,85.747,0.749133,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
455,xgboost,adult_size_48842,20,30162,0,0.3,600,6,0,0,0,0,0,0,0.915611,0.00501329,86.1796,0.22326,86.1166,0.193345,0,0,0.91064,0.00572456,85.8497,0.559542,85.6575,0.598425,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
460,xgboost,adult_size_48842,20,30162,0,0.1,500,2,0,0,0,0,0,0,0.911985,0.00335092,85.5563,0.134259,85.4693,0.170224,0,0,0.910579,0.0045539,85.5381,0.518681,85.3259,0.566806,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
461,xgboost,adult_size_48842,20,30162,0,0.2,400,5,0,0,0,0,0,0,0.915707,0.00530297,86.1216,0.218473,86.0089,0.24879,0,0,0.911513,0.00750771,85.8199,0.742604,85.5845,0.795912,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
464,xgboost,adult_size_48842,20,30162,0,0.3,100,2,0,0,0,0,0,0,0.906746,0.00273748,85.2057,0.117714,85.1129,0.105248,0,0,0.905956,0.00380506,85.1999,0.544647,85.0275,0.615251,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
