,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,add_trees,use_pf,pf_add,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split
789,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.39585,0.365602,0,0,0,0,0,0,3.39057,0.395601,0.2,0,0,0,0.7,0,0.1,0,1,12,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
790,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.27796,0.280193,0,0,0,0,0,0,3.27707,0.298429,0.2,0,0,0,0.7,0,0.1,0,1,25,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
791,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.29807,0.269172,0,0,0,0,0,0,3.29954,0.280902,0.2,0,0,0,0.7,0,0.1,0,1,37,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
792,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.29205,0.287809,0,0,0,0,0,0,3.29412,0.298421,0.2,0,0,0,0.7,0,0.1,0,1,50,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
793,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.93157,0.639482,0,0,0,0,0,0,3.92992,0.627141,0.2,0,0,0,0.7,0,0.1,0,0,0,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
794,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.62441,0.517008,0,0,0,0,0,0,3.62985,0.522535,0.2,0,0,0,0.7,0,0.1,12,0,0,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
795,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,3.91968,0.735521,0,0,0,0,0,0,3.91115,0.73518,0.2,0,0,0,0.7,0,0.1,25,0,0,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
796,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,4.19078,0.731876,0,0,0,0,0,0,4.19193,0.730658,0.2,0,0,0,0.7,0,0.1,37,0,0,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
797,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,4.15517,0.693543,0,0,0,0,0,0,4.14851,0.700144,0.2,0,0,0,0.7,0,0.1,50,0,0,0.7,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
798,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.8822,0.108229,0,0,0,0,0,0,2.87932,0.157162,0.2,0,0,0,0.1,0,0.1,0,1,25,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
799,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.80086,0.0964032,0,0,0,0,0,0,2.79968,0.140555,0.2,0,0,0,0.1,0,0.1,0,1,50,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
800,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.77204,0.0874895,0,0,0,0,0,0,2.77311,0.135823,0.2,0,0,0,0.1,0,0.1,0,1,75,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
801,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.773,0.118701,0,0,0,0,0,0,2.77281,0.156791,0.2,0,0,0,0.1,0,0.1,0,1,100,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
802,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.39196,0.207093,0,0,0,0,0,0,3.39127,0.221103,0.2,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
803,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.83788,0.122824,0,0,0,0,0,0,2.83893,0.146633,0.2,0,0,0,0.1,0,0.1,25,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
804,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.93078,0.169623,0,0,0,0,0,0,2.93558,0.190509,0.2,0,0,0,0.1,0,0.1,50,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
805,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.04147,0.243991,0,0,0,0,0,0,3.03778,0.263903,0.2,0,0,0,0.1,0,0.1,75,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
806,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.1071,0.284034,0,0,0,0,0,0,3.10861,0.296259,0.2,0,0,0,0.1,0,0.1,100,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
807,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.04967,0.226269,0,0,0,0,0,0,3.05076,0.23491,0.2,0,0,0,0.3,0,0.1,0,1,25,0.3,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
808,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.02566,0.203584,0,0,0,0,0,0,3.02578,0.238019,0.2,0,0,0,0.3,0,0.1,0,1,50,0.3,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
809,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.04641,0.202671,0,0,0,0,0,0,3.04515,0.227276,0.2,0,0,0,0.3,0,0.1,0,1,75,0.3,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
810,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.07769,0.235377,0,0,0,0,0,0,3.08962,0.238374,0.2,0,0,0,0.3,0,0.1,0,1,100,0.3,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
811,sbdt,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,3.62096,0.45773,0,0,0,0,0,0,3.62026,0.474353,0.2,0,0,0,0.3,0,0.1,0,0,0,0.3,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
